Invesco India Banking & PSU Debt Fund - Direct Plan - Daily IDCW (Reinvestment)	1031.2145
Invesco India Banking & PSU Debt Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1012.6432
Invesco India Banking & PSU Debt Fund - Growth Option	1967.6944
Invesco India Banking & PSU Debt Fund - Monthly IDCW (Payout / Reinvestment)	1032.7115
	
	
	
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option	11.5993
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option	11.5993
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option	11.4162
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option	11.4162
	
	
	
Kotak Banking and PSU Debt - Annual Dividend	16.1842
Kotak Banking and PSU Debt - Daily Dividend Reinvestment	10.188
Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment	10.2604
Kotak Banking and PSU Debt - Growth	56.881
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option	10.6866
Kotak Banking and PSU Debt Direct - Annual Dividend	17.1427
Kotak Banking and PSU Debt Direct - Growth	58.8522
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option	10.2718
	
	
	
LIC MF Banking & PSU Debt Fund-Direct Plan-Daily IDCW	13.1238
LIC MF Banking & PSU Debt Fund-Direct Plan-Growth	32.4349
LIC MF Banking & PSU Debt Fund-Direct Plan-Monthly IDCW	12.2154
LIC MF Banking & PSU Debt Fund-Direct Plan-Weekly IDCW	10.0598
LIC MF Banking & PSU Debt Fund-Regular Plan-Daily IDCW	10.886
LIC MF Banking & PSU Debt Fund-Regular Plan-Growth	30.3456
LIC MF Banking & PSU Debt Fund-Regular Plan-Monthly IDCW	11.3572
LIC MF Banking & PSU Debt Fund-Regular Plan-Weekly IDCW	10.0573
	
	
	
Mirae Asset Banking and PSU Debt Fund Direct Growth	11.4888
Mirae Asset Banking and PSU Debt Fund Direct IDCW	11.4882
Mirae Asset Banking and PSU Debt Fund Regular Growth Plan	11.3299
Mirae Asset Banking and PSU Debt Fund Regular IDCW	11.3308
	
	
	
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option	18.6320
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Growth Option	18.6317
Nippon India Banking  & PSU Debt Fund- Growth Plan- Bonus Option	12.3452
Nippon India Banking  & PSU Debt Fund- Growth Plan- Growth Option	18.0800
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - IDCW Option	18.6317
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - MONTHLY IDCW Option	10.7033
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - QUARTERLY IDCW Option	10.7746
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - WEEKLY IDCW Option	10.2873
NIPPON INDIA BANKING & PSU DEBT FUND - IDCW Option	18.0800
NIPPON INDIA BANKING & PSU DEBT FUND - MONTHLY IDCW Option	10.6375
